type,price,beds,bath,propertysqft,street_name,latitude,longitude,zip_code,city
multi-family home for sale,670000,3,2.0,2184.207862,brooklyn,40.6482878,-73.9246615,11203,brooklyn
house for sale,675000,3,2.0,2400.0,brooklyn,40.610206,-73.91065,11234,brooklyn
pending,675000,3,2.373860858,2184.207862,brooklyn,40.6428139,-73.9451438,11203,brooklyn
multi-family home for sale,679000,6,3.0,2184.207862,brooklyn,40.6398004,-73.8974592,11236,brooklyn
multi-family home for sale,680000,3,2.0,1535.0,brooklyn,40.6713695,-73.869277,11208,brooklyn
house for sale,680000,3,2.0,1296.0,brooklyn,40.6381159,-73.9218484,11234,brooklyn
house for sale,688000,3,2.0,1344.0,brooklyn,40.5773399,-73.9943294,11224,brooklyn
house for sale,689000,2,2.0,750.0,brooklyn,40.5817208,-73.9645608,11235,brooklyn
house for sale,690000,5,2.0,4004.0,brooklyn,40.6743632,-73.9587248,11238,brooklyn
house for sale,690000,3,2.0,1325.0,brooklyn,40.6173476,-73.9131449,11234,brooklyn
house for sale,690000,2,2.0,1500.0,brooklyn,40.6342245,-73.9268315,11234,brooklyn
house for sale,695000,3,2.0,1926.0,brooklyn,40.6713641,-73.8673475,11208,brooklyn
house for sale,699000,3,2.0,2350.0,brooklyn,40.6095856,-73.9253159,11234,brooklyn
co-op for sale,699000,1,1.0,2184.207862,brooklyn,40.6938368,-73.9941354,11201,brooklyn
multi-family home for sale,699000,6,2.0,2184.207862,brooklyn,40.6373525,-73.9344092,11203,brooklyn
house for sale,699000,3,2.0,1296.0,brooklyn,40.616513,-73.9172382,11234,brooklyn
pending,699000,4,4.0,1619.0,brooklyn,40.6376197,-73.898975,11236,brooklyn
house for sale,699000,3,3.0,2835.0,brooklyn,40.6324811,-73.9306778,11234,brooklyn
house for sale,699000,3,2.373860858,2184.207862,brooklyn,40.64539,-73.8897652,11236,brooklyn
house for sale,699000,3,3.0,1280.0,brooklyn,40.5877725,-73.9253044,11229,brooklyn
multi-family home for sale,699000,3,2.373860858,2184.207862,brooklyn,40.6418865,-73.9479336,11226,brooklyn
townhouse for sale,699000,4,2.0,2184.207862,brooklyn,40.6450331,-73.9279337,11203,brooklyn
house for sale,699000,3,2.0,522.0,brooklyn,40.6200647,-73.9203764,11234,brooklyn
multi-family home for sale,699000,2,3.0,2184.207862,brooklyn,40.6769065,-73.9327329,11213,crown heights
house for sale,699999,4,2.0,2184.207862,brooklyn,40.6862137,-73.8740777,11208,brooklyn
townhouse for sale,700000,4,2.0,2266.0,brooklyn,40.6430292,-73.9248566,11203,brooklyn
pending,709000,3,3.0,2184.207862,brooklyn,40.6330746,-73.9014669,11236,brooklyn
condo for sale,6500000,2,2.0,1639.0,manhattan,40.7601885,-73.9843625,10019,new york
house for sale,720000,4,2.0,936.0,brooklyn,40.6404818,-73.8915337,11236,brooklyn
house for sale,720000,3,3.0,2200.0,brooklyn,40.6782274,-73.9267868,11233,brooklyn
multi-family home for sale,725000,4,2.0,1700.0,brooklyn,40.6681943,-73.8749046,11208,brooklyn
multi-family home for sale,729000,3,3.0,1800.0,brooklyn,40.6391205,-73.9112362,11236,brooklyn
house for sale,729000,3,2.0,1854.0,brooklyn,40.5749619,-73.9982799,11224,brooklyn
house for sale,735000,3,2.0,1600.0,brooklyn,40.6334425,-73.9402186,11210,brooklyn
pending,739000,6,4.0,2184.207862,brooklyn,40.5877991,-73.9216187,11229,brooklyn
house for sale,739000,2,2.0,1473.0,brooklyn,40.6241803,-73.9375665,11210,brooklyn
house for sale,749000,4,2.0,2184.207862,brooklyn,40.6771904,-73.8625697,11208,brooklyn
house for sale,749000,3,2.0,1400.0,brooklyn,40.6306818,-73.9325033,11234,brooklyn
house for sale,749000,3,2.373860858,2002.0,brooklyn,40.6681727,-73.8800267,11208,brooklyn
multi-family home for sale,749900,5,2.0,1400.0,brooklyn,40.6754664,-73.8780744,11208,brooklyn
house for sale,749999,3,2.0,2184.207862,brooklyn,40.6485435,-73.9292272,11203,brooklyn
multi-family home for sale,750000,3,2.0,2184.207862,brooklyn,40.5931071,-73.9753582,11223,brooklyn
multi-family home for sale,750000,3,4.0,2184.207862,brooklyn,40.6463635,-73.9325263,11203,brooklyn
house for sale,750000,3,2.0,1868.0,brooklyn,40.6359284,-73.9409763,11203,east flatbush
house for sale,750000,4,3.0,1806.0,brooklyn,40.6383047,-73.9417504,11210,brooklyn
contingent,750000,6,2.0,1476.0,brooklyn,40.6735859,-73.8674854,11208,brooklyn
house for sale,758000,4,2.0,1216.0,brooklyn,40.6318515,-73.9382094,11210,brooklyn
house for sale,759000,3,2.0,1260.0,brooklyn,40.6184347,-73.9113421,11234,brooklyn
multi-family home for sale,769000,4,3.0,2184.207862,brooklyn,40.6426509,-73.8958975,11236,brooklyn
